Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,12897.69,12924.16,12745.15,12871.39,88487813
2018-01-03,12916.18,13023.59,12893.05,12978.21,87242718
2018-01-04,13065.98,13208.35,13062.67,13167.89,103899844
2018-01-05,13219.11,13332.8,13219.11,13319.64,115621245
2018-01-08,13399.62,13407.82,13334.16,13367.78,97642998
2018-01-09,13383.26,13425.02,13361.22,13385.59,97147833
2018-01-10,13355.28,13377.88,13227.57,13281.34,123608400
2018-01-11,13281.2,13298.65,13151.84,13202.9,113292293
2018-01-12,13241.28,13265.14,13168.01,13245.03,90322748
2018-01-15,13244.37,13250.37,13173.71,13200.51,59992424
2018-01-16,13228.6,13351.09,13196.56,13246.33,88129176
2018-01-17,13200.92,13251.44,13137.51,13183.96,90379032
2018-01-18,13250.25,13293.29,13201.34,13281.43,92200087
2018-01-19,13297.74,13445.47,13294.81,13434.45,111062476
2018-01-22,13435.14,13470.05,13410.96,13463.69,98010314
2018-01-23,13577.14,13596.89,13517.81,13559.6,99969164
2018-01-24,13572.71,13576.84,13414.74,13414.74,107852833
2018-01-25,13374.38,13443.36,13222.47,13298.36,108655632
2018-01-26,13297.51,13348.69,13268.31,13340.17,77883524
2018-01-29,13358.9,13370.02,13274.84,13324.48,80973714
2018-01-30,13223.97,13309.86,13171.91,13197.71,118222999
2018-01-31,13210.76,13268.41,13159.35,13189.48,115001092
2018-02-01,13235.15,13301.41,12971.78,13003.9,126079313
2018-02-02,12954.59,12954.59,12782.07,12785.16,144405695
2018-02-05,12687.79,12752.6,12622.44,12687.49,116920430
2018-02-06,12232.86,12550.16,12232.86,12392.66,210251418
2018-02-07,12478.68,12651.28,12414.84,12590.43,157687828
2018-02-08,12506.18,12541.32,12187.45,12260.29,158246391
2018-02-09,12263.1,12296.18,12003.36,12107.48,180322045
2018-02-12,12238.63,12379.16,12222.34,12282.77,123244383
2018-02-13,12282.76,12300.63,12196.22,12196.5,97277664
2018-02-14,12294.85,12393.71,12075.21,12339.16,134304449
2018-02-15,12425.45,12479.97,12275.04,12346.17,115104648
2018-02-16,12408.48,12484.12,12368.71,12451.96,106999232
2018-02-19,12495.07,12505.49,12361.86,12385.6,68711961
2018-02-20,12403.63,12496.1,12333.79,12487.9,89497953
2018-02-21,12457.22,12474.37,12372.26,12470.49,85619834
2018-02-22,12358.82,12497.71,12283.7,12461.91,107098366
2018-02-23,12491.77,12513.32,12431.94,12483.79,100674835
2018-02-26,12566.05,12601.46,12484.59,12527.04,80336624
2018-02-27,12573.65,12577.56,12436.13,12490.73,92343094
2018-02-28,12427.46,12516.92,12417.96,12435.85,95972886
2018-03-01,12386.4,12387.88,12143.14,12190.94,116577926
2018-03-02,12051.89,12081.4,11877.66,11913.71,123526763
2018-03-05,11831.57,12110.18,11830.98,12090.87,112907941
2018-03-06,12229.29,12259.58,12110.34,12113.87,107475269
2018-03-07,12060.09,12275.69,12020.61,12245.36,95454717
2018-03-08,12237.94,12382.69,12177.12,12355.57,100426532
2018-03-09,12331.64,12407.98,12284.57,12346.68,98673304
2018-03-12,12453.3,12454.96,12361.01,12418.39,140618237
2018-03-13,12425.69,12459.9,12162.47,12221.03,135549565
2018-03-14,12212.49,12322.89,12202.76,12237.74,107034787
2018-03-15,12284.14,12378.39,12239.96,12345.56,109590079
2018-03-16,12345.56,12454.02,12337.62,12389.58,218306268
2018-03-19,12346.51,12369.77,12183.79,12217.02,99635249
2018-03-20,12261.19,12320,12191.55,12307.33,74617816
2018-03-21,12336.76,12344.09,12250.37,12309.15,111981523
2018-03-22,12187.73,12267.17,12009.5,12100.08,142319559
2018-03-23,11995.51,12001.78,11818.7,11886.31,149646311
2018-03-26,11919.64,11984.5,11726.62,11787.26,102779009
2018-03-27,11996.35,12042.78,11927.91,11970.83,101501739
2018-03-28,11868.08,11961.16,11770.4,11940.71,116702254
2018-03-29,11956.34,12151.31,11942.28,12096.73,114172025
2018-04-03,11997.47,12069.48,11913.62,12002.45,97979611
2018-04-04,12000.47,12011.12,11792.35,11957.9,110191261
2018-04-05,12153.61,12322.37,12135.64,12305.19,112222647
2018-04-06,12242.94,12290.03,12202.05,12241.27,89658978
2018-04-09,12311.02,12371.11,12205.39,12261.75,79551849
2018-04-10,12389.9,12428.9,12334.95,12397.32,101910189
2018-04-11,12372.07,12381.53,12256.59,12293.97,101563647
2018-04-12,12282.39,12434.24,12263.7,12415.01,84303287
2018-04-13,12461.31,12523.97,12411.65,12442.4,78840337
2018-04-16,12478.99,12487.04,12375.63,12391.41,64842479
2018-04-17,12443.2,12614.25,12417.26,12585.57,87223541
2018-04-18,12597.58,12640.25,12548.45,12590.83,85124382
2018-04-19,12595.61,12595.61,12534.63,12567.42,72762791
2018-04-20,12555.96,12585.37,12490.77,12540.5,114636460
2018-04-23,12538.16,12588.23,12466.47,12572.39,80382459
2018-04-24,12602.41,12647.16,12481.3,12550.82,108974519
2018-04-25,12456.82,12484.78,12312.27,12422.3,110989366
2018-04-26,12395.9,12503.22,12383.95,12500.47,121289858
2018-04-27,12572.72,12627.71,12518.03,12580.87,109216647
2018-04-30,12606.27,12622.93,12563.74,12612.11,99103003
2018-05-02,12610.78,12827.54,12605.38,12802.25,113488057
2018-05-03,12775.66,12798.16,12665.33,12690.15,100924460
2018-05-04,12733.19,12819.6,12707.86,12819.6,97626495
2018-05-07,12827.43,12961.05,12813.55,12948.14,65559397
2018-05-08,12924.23,12933.67,12855.09,12912.21,94975814
2018-05-09,12917.82,12962.52,12890.38,12943.06,107774609
2018-05-10,12975.09,13034.21,12928.51,13022.87,74786472
2018-05-11,13023,13033.3,12964,13001.24,87690071
2018-05-14,13009.83,13015.1,12927.24,12977.71,79863323
2018-05-15,12947.97,13006.34,12918.29,12970.04,109415012
2018-05-16,12983.49,13030.76,12960.53,12996.33,107954675
2018-05-17,12985.14,13114.63,12981.89,13114.61,95826699
2018-05-18,13115.63,13133.19,13051.13,13077.72,127621312
2018-05-22,13132.56,13204.31,13061.77,13169.92,112648851
2018-05-23,13138.83,13148.05,12929.9,12976.84,108033062
2018-05-24,12955.94,13006.44,12801.82,12855.09,147732404
2018-05-25,12917.15,13002.47,12852.17,12938.01,106525044
2018-05-28,13016.55,13040.63,12828.26,12863.46,71640434
2018-05-29,12786.15,12803.29,12608.7,12666.51,158438956
2018-05-30,12693.33,12783.76,12663.37,12783.76,127589468
2018-05-31,12796.16,12803.6,12547.61,12604.89,188819712
2018-06-01,12678.07,12800.45,12660.79,12724.27,126691548
2018-06-04,12839.44,12846.26,12714.03,12770.75,86964888
2018-06-05,12766.16,12925.24,12753.3,12787.13,110517332
